School,Gender,Role,citations,earliest_pub
ASU,Male,Professor,549,1974
ASU,Male,Professor,274,1975
ASU,Male,Professor,5370,1976
ASU,Male,Professor,3641,1977
ASU,Male,Professor,1178,1978
ASU,Male,Professor,346,1979
ASU,Male,Professor,1405,1979
ASU,Male,Professor,783,1979
ASU,Male,Professor,703,1982
ASU,Male,Professor,362,1983
ASU,Male,Professor,172,1983
ASU,Male,Professor,609,1983
ASU,Male,Professor,1425,1983
ASU,Male,Professor,739,1984
ASU,Female,Professor,238,1984
ASU,Male,Professor,108,1985
ASU,Male,Professor,3902,1985
ASU,Male,Professor,148,1985
ASU,Male,Professor,223,1986
ASU,Male,Professor,152,1987
ASU,Male,Professor,156,1988
ASU,Male,Professor,428,1994
ASU,Male,Professor,858,1996
ASU,Female,Professor,3,1996
ASU,Male,Professor,212,1998
Auburn,Male,Professor,266,1963
Auburn,Male,Professor,200,1965
Auburn,Male,Professor,1186,1969
Auburn,Female,Professor,133,1971
Auburn,Male,Professor,205,1972
Auburn,Male,Professor,216,1973
Auburn,Male,Professor,253,1973
Auburn,Male,Professor,77,1974
Auburn,Male,Professor,87,1974
Auburn,Male,Professor,152,1975
Auburn,Male,Professor,569,1976
Auburn,Male,Professor,105,1976
Auburn,Male,Professor,94,1976
Auburn,Male,Professor,127,1977
Auburn,Male,Professor,143,1978
Auburn,Male,Professor,243,1980
Auburn,Male,Professor,1734,1981
Auburn,Male,Professor,360,1982
Auburn,Male,Professor,1158,1983
Auburn,Male,Professor,194,1984
Auburn,Female,Professor,1948,1988
Auburn,Male,Professor,558,1992
Auburn,Male,Professor,2,1992
Auburn,Female,Professor,13,1993
Auburn,Male,Professor,964,1997
Auburn,Male,Professor,20,2002
Auburn,Female,Professor,213,2007
Binghamton ,Male,Professor,90,1969
Binghamton ,Male,Professor,1280,1974
Binghamton ,Male,Professor,406,1975
Binghamton ,Male,Professor,280,1977
Binghamton ,Male,Professor,579,1983
Binghamton ,Male,Professor,83,1985
Binghamton ,Male,Professor,112,1986
Binghamton ,Male,Professor,243,1991
Binghamton ,Male,Professor,148,1992
Binghamton ,Male,Professor,185,1994
Boston College,Male,Professor,876,1975
Boston College,Male,Professor,492,1981
Boston College,Male,Professor,775,1982
Boston College,Male,Professor,445,1985
Boston College,Male,Professor,446,1988
Boston College,Male,Professor,175,1994
Boston College,Male,Professor,204,2000
Boston College,Male,Professor,213,2002
Boston College,Male,Professor,76,2004
Boston College,Female,Professor,159,2006
Boston University,Male,Professor,177,1967
Boston University,Female,Professor,1043,1967
Boston University,Male,Professor,2254,1969
Boston University,Male,Professor,33,1970
Boston University,Male,Professor,3644,1972
Boston University,Female,Professor,57,1974
Boston University,Female,Professor,401,1975
Boston University,Male,Professor,668,1976
Boston University,Male,Professor,781,1976
Boston University,Male,Professor,580,1976
Boston University,Male,Professor,228,1978
Boston University,Male,Professor,164,1979
Boston University,Male,Professor,450,1980
Boston University,Male,Professor,307,1981
Boston University,Male,Professor,578,1981
Boston University,Male,Professor,1728,1981
Boston University,Male,Professor,1245,1987
Boston University,Male,Professor,258,1989
Boston University,Male,Professor,9,1994
Boston University,Male,Professor,236,1994
