,name,affiliation,citations,hindex,year,lettergroup,gender,highered,institution,research,country,role,security,field,simplefield,fellows,amscit,Fields
0,matthew salomone,bridgewater state university,,,2006,A Only,man,highered,domesticother,lessri,,associate,moresecure,math,mathstat,FALSE,,FALSE
1,mary d shepherd,northwest missouri state university,,,1996,A Only,woman,highered,domesticother,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
2,michelle manes,university of hawaii at manoa,266,9,2007,A Only,woman,highered,domesticr1,moreri,,associate,moresecure,math,mathstat,FALSE,,FALSE
3,chanda prescod weinstein,university of new hampshire,,,2010,A Only,woman,highered,domesticr1,moreri,,assistant,lesssecure,other,other ,FALSE,,FALSE
4,barbara fantechi,sissa,2351,18,,A Only,woman,highered,international,moreri,italy,professor,moresecure,math,mathstat,FALSE,,FALSE
5,mikael vejdemo johansson,city university of new york,961,12,,A Only,man,highered,domesticr1,moreri,,assistant,lesssecure,stat,mathstat,FALSE,,FALSE
6,max lahn,university of michigan,,,,A Only,man,highered,domesticr1,moreri,,grad,lesssecure,math,mathstat,FALSE,,FALSE
7,f patricia medina,yeshiva university,19,2,,A Only,woman,highered,domesticr2,lessri,,assistant,lesssecure,comp,other ,FALSE,,FALSE
8,benjamin braun,university of kentucky,405,13,2007,A Only,man,highered,domesticr1,moreri,,associate,moresecure,math,mathstat,FALSE,,FALSE
9,diana thomas,united states military academy,5112,34,1996,A Only,woman,highered,domesticother,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
10,terrence blackman,medgar evers college cuny,8,2,2011,A Only,man,highered,domesticother,lessri,,associate,moresecure,math,mathstat,FALSE,,FALSE
11,mark daniel ward,purdue university,275,10,,A Only,man,highered,domesticr1,moreri,,professor,moresecure,stat,mathstat,FALSE,,FALSE
12,andrew cooper,university of pennsylvania,42,3,,A Only,man,highered,domesticr1,moreri,,ntt,lesssecure,math,mathstat,FALSE,,FALSE
13,susan j sierra,university of edinburgh,211,9,2008,A Only,woman,highered,international,moreri,united kingdom,professor,moresecure,math,mathstat,FALSE,,FALSE
14,ralph pantozzi,kent place school,12,1,,A Only,man,nothighered,domesticother,lessri,,,,,,FALSE,,FALSE
15,alison marr,southwestern university,,,2007,A Only,woman,highered,domesticother,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
16,jessica deshler,west virginia university,102,5,2008,A Only,woman,highered,domesticr1,moreri,,associate,moresecure,math,mathstat,FALSE,,FALSE
17,melanie brown,champlain college,,,2010,A Only,woman,highered,domesticother,lessri,,associate,moresecure,math,mathstat,FALSE,,FALSE
18,theron j hitchman,university of northern iowa,,,2003,A Only,man,highered,domesticother,lessri,,associate,moresecure,math,mathstat,FALSE,,FALSE
19,oscar vega,california state university fresno,,,2006,A Only,man,highered,domesticother,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
20,mariah birgen,wartburg college,,,1997,A Only,woman,highered,domesticother,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
21,ann clifton,cedar crest college,,,,A Only,woman,highered,domesticother,lessri,,ntt,lesssecure,math,mathstat,FALSE,,FALSE
22,mitchel t keller,morningside college,276,8,2010,A Only,man,highered,domesticother,lessri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
23,jason e miller,california state university channel islands,,,1998,A Only,man,highered,domesticother,lessri,,professor,moresecure,math,mathstat,FALSE,,FALSE
24,anil venkatesh,adelphi university,,,2015,A Only,man,highered,domesticother,lessri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
25,ellen goldstein,boston college,,,2011,A Only,woman,highered,domesticr1,moreri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
26,sandra laursen,university of colorado,5038,25,,A Only,woman,highered,domesticr1,moreri,,staff,lesssecure,other,other ,FALSE,,FALSE
27,juanita pinzon caicedo,north carolina state university,,,,A Only,woman,highered,domesticr1,moreri,,ntt,lesssecure,math,mathstat,FALSE,,FALSE
28,benjamin gaines,iona college,,,,A Only,man,highered,domesticother,lessri,,assistant,lesssecure,math,mathstat,FALSE,,FALSE
29,aida alibek,university of illinois at chicago,17,2,,A Only,woman,highered,domesticr1,moreri,,grad,lesssecure,math,mathstat,FALSE,,FALSE
30,sam cook,boston university,55,4,,A Only,man,highered,domesticr1,moreri,,associate,moresecure,mathed,mathed,FALSE,,FALSE
31,rann bar on,duke university,,,,A Only,man,highered,domesticr1,moreri,,ntt,lesssecure,math,mathstat,FALSE,,FALSE
32,casey warmbrand,herberger young scholars academy,,,,A Only,man,nothighered,,,,,,,,FALSE,,FALSE
33,teri murphy,university of cincinnati,,,1995,A Only,woman,highered,domesticr1,moreri,,professor,moresecure,other,other ,FALSE,,FALSE
